Name,xpos,ypos,zpos,hNode,tNode,pressure,pressure_mmHg,volume,cellvolume
1,48.8700073242343,44.550012206977,0,0,0,5281.15735790992,39.6086801843244,250.466471304218,7425.84717178463
2,4.72499999999695,34.4250122070263,0,0,0,5284.41686921763,39.6331265191322,764.128954809341,4972.06594198583
3,21.5100016276037,46.7100179036456,0,0,0,5284.48768549995,39.6336576412496,2307.76072937102,14643.9674478473
4,33.5700032551242,51.3000162760096,0,0,0,5284.43784135452,39.6332838101589,2307.76072937912,14643.9674479737
5,11.2050048828583,23.3550048827986,0,0,0,5275.86001181706,39.568950088628,134.820815379886,6682.26111587611
6,32.3100097655715,24.3900065103928,0,0,0,5270.92478276654,39.531935870749,211.949523738682,5840.54944527926
7,42.2100097656127,28.8000081380153,0,0,0,5274.42575068863,39.5581931301647,211.949523739387,5840.5494453314
8,10.1700032552103,68.7600260417403,0,0,0,5316.7791765485,39.8758438241137,179.37149482712,9741.83888171772
9,9.81000162760458,55.4400227864733,0,0,0,5300.65835309689,39.7549376482266,179.371494827717,9741.83888180732
10,7.47000325517544,6.66000162757479,0,0,0,5260.39343190233,39.4529507392675,250.027507232905,4923.60616160932
11,14.9400065103901,13.3200032551846,0,0,0,5263.90862337338,39.4793146753003,250.027507233901,4923.60616166109
12,0,26.7300048828125,0,0,0,5284.29620878988,39.6322215659241,449.474885094643,6007.68321607181
13,9.45000000000002,42.12001953125,0,0,0,5284.53752964538,39.6340314723403,1625.63058950812,0
14,22.410009765625,19.9800048828125,0,0,0,5267.42381484446,39.5056786113334,298.398923175621,0
15,45.6300048828125,55.8900146484375,0,0,0,5284.38799720909,39.6329099790681,1279.1136003503,11417.7714122123
16,10.5300048828125,82.080029296875,0,1,0,5332.9,39.99675,179.371494826229,0
17,52.110009765625,33.210009765625,0,0,0,5277.92671861073,39.5844503895804,231.207997521048,6603.82506176534
18,0,0,0,0,1,5256.87824043131,39.4265868032348,250.027507232248,0
